+-------+-----+-----+-----+-----+-----+--------+-----------------------------------------------+-------+--------+---------+--------+--------+--------+--------+--------+-----------+-----------+------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                      URI                      |  MIN  |  MAX   |   SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY) | SUM(BODY)  | AVG(BODY) |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /api/player/player/13e90bc38                  | 1.900 | 9.948  | 11.848  | 5.924  | 9.948  | 9.948  | 9.948  | 4.024  | 2181.000  | 2299.000  | 4480.000   | 2240.000  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /api/player/competition/639dd7b16/ranking     | 1.900 | 9.760  | 11.660  | 5.830  | 9.760  | 9.760  | 9.760  | 3.930  | 14666.000 | 14711.000 | 29377.000  | 14688.500 |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /api/player/player/3c96aedf7                  | 1.904 | 9.512  | 11.416  | 5.708  | 9.512  | 9.512  | 9.512  | 3.804  | 2099.000  | 2099.000  | 4198.000   | 2099.000  |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /api/player/player/9fa5295c                   | 5.224 | 5.836  | 11.060  | 5.530  | 5.836  | 5.836  | 5.836  | 0.306  | 380.000   | 801.000   | 1181.000   | 590.500   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /api/player/player/2297ad3cc                  | 1.416 | 9.156  | 10.572  | 5.286  | 9.156  | 9.156  | 9.156  | 3.870  | 2086.000  | 2204.000  | 4290.000   | 2145.000  |
| 4     | 0   | 2   | 0   | 2   | 0   | GET    | /api/player/player/9fa528ac                   | 0.148 | 6.752  | 10.440  | 2.610  | 6.752  | 6.752  | 6.752  | 2.486  | 0.000     | 670.000   | 1340.000   | 335.000   |
| 11    | 0   | 11  | 0   | 0   | 0   | GET    | /api/player/competition/9fa52525/ranking      | 0.008 | 2.428  | 9.792   | 0.890  | 2.416  | 2.428  | 2.428  | 1.153  | 14313.000 | 14314.000 | 157453.000 | 14313.909 |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/4f16b730a                  | 9.344 | 9.344  | 9.344   | 9.344  | 9.344  | 9.344  | 9.344  | 0.000  | 1461.000  | 1461.000  | 1461.000   | 1461.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/organizer/competition/9fa531a2/score     | 8.508 | 8.508  | 8.508   | 8.508  | 8.508  | 8.508  | 8.508  | 0.000  | 54.000    | 54.000    | 54.000     | 54.000    |
| 5     | 0   | 4   | 0   | 1   | 0   | GET    | /api/player/player/9fa527cd                   | 0.004 | 5.724  | 8.332   | 1.666  | 5.724  | 5.724  | 5.724  | 2.169  | 0.000     | 784.000   | 2271.000   | 454.200   |
| 4     | 0   | 4   | 0   | 0   | 0   | GET    | /api/player/player/1b7365b1e                  | 0.340 | 3.596  | 8.168   | 2.042  | 3.596  | 3.596  | 3.596  | 1.171  | 2270.000  | 2387.000  | 9431.000   | 2357.750  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/competition/348aba3b2/ranking     | 8.080 | 8.080  | 8.080   | 8.080  | 8.080  | 8.080  | 8.080  | 0.000  | 14713.000 | 14713.000 | 14713.000  | 14713.000 |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/organizer/competition/9fa5278b/score     | 7.984 | 7.984  | 7.984   | 7.984  | 7.984  | 7.984  | 7.984  | 0.000  | 54.000    | 54.000    | 54.000     | 54.000    |
| 2     | 0   | 1   | 0   | 1   | 0   | GET    | /api/player/player/9fa52879                   | 1.676 | 5.712  | 7.388   | 3.694  | 5.712  | 5.712  | 5.712  | 2.018  | 0.000     | 569.000   | 569.000    | 284.500   |
| 2     | 0   | 1   | 0   | 1   | 0   | GET    | /api/player/player/9fa52986                   | 1.140 | 6.204  | 7.344   | 3.672  | 6.204  | 6.204  | 6.204  | 2.532  | 0.000     | 688.000   | 688.000    | 344.000   |
| 3     | 0   | 2   | 0   | 1   | 0   | GET    | /api/player/player/9fa529bd                   | 0.016 | 5.968  | 7.104   | 2.368  | 5.968  | 5.968  | 5.968  | 2.585  | 0.000     | 584.000   | 1058.000   | 352.667   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /api/player/player/9fa52a07                   | 0.152 | 6.932  | 7.084   | 3.542  | 6.932  | 6.932  | 6.932  | 3.390  | 475.000   | 801.000   | 1276.000   | 638.000   |
| 3     | 0   | 3   | 0   | 0   | 0   | GET    | /api/player/player/20e954c9b                  | 0.760 | 3.188  | 7.036   | 2.345  | 3.188  | 3.188  | 3.188  | 1.122  | 2184.000  | 2184.000  | 6552.000   | 2184.000  |
| 4     | 0   | 4   | 0   | 0   | 0   | GET    | /api/player/player/9fa527c1                   | 0.004 | 6.908  | 6.948   | 1.737  | 6.908  | 6.908  | 6.908  | 2.986  | 459.000   | 784.000   | 2596.000   | 649.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa52809                   | 6.932 | 6.932  | 6.932   | 6.932  | 6.932  | 6.932  | 6.932  | 0.000  | 784.000   | 784.000   | 784.000    | 784.000   |
| 2     | 0   | 1   | 0   | 1   | 0   | GET    | /api/player/player/9fa52881                   | 1.200 | 5.700  | 6.900   | 3.450  | 5.700  | 5.700  | 5.700  | 2.250  | 0.000     | 569.000   | 569.000    | 284.500   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa52a68                   | 6.900 | 6.900  | 6.900   | 6.900  | 6.900  | 6.900  | 6.900  | 0.000  | 800.000   | 800.000   | 800.000    | 800.000   |
| 3     | 0   | 3   | 0   | 0   | 0   | GET    | /api/player/player/9fa52847                   | 0.292 | 6.276  | 6.892   | 2.297  | 6.276  | 6.276  | 6.276  | 2.813  | 569.000   | 672.000   | 1810.000   | 603.333   |
| 4     | 0   | 4   | 0   | 0   | 0   | GET    | /api/player/player/9fa529da                   | 0.004 | 6.496  | 6.828   | 1.707  | 6.496  | 6.496  | 6.496  | 2.768  | 280.000   | 800.000   | 2242.000   | 560.500   |
| 3     | 0   | 3   | 0   | 0   | 0   | GET    | /api/player/player/9fa5280d                   | 0.012 | 6.644  | 6.824   | 2.275  | 6.644  | 6.644  | 6.644  | 3.090  | 264.000   | 672.000   | 1608.000   | 536.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/organizer/competition/9fa53988/score     | 6.820 | 6.820  | 6.820   | 6.820  | 6.820  | 6.820  | 6.820  | 0.000  | 54.000    | 54.000    | 54.000     | 54.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa52888                   | 6.812 | 6.812  | 6.812   | 6.812  | 6.812  | 6.812  | 6.812  | 0.000  | 785.000   | 785.000   | 785.000    | 785.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa529e7                   | 6.800 | 6.800  | 6.800   | 6.800  | 6.800  | 6.800  | 6.800  | 0.000  | 801.000   | 801.000   | 801.000    | 801.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/organizer/competition/9fa5308f/score     | 6.800 | 6.800  | 6.800   | 6.800  | 6.800  | 6.800  | 6.800  | 0.000  | 54.000    | 54.000    | 54.000     | 54.000    |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /api/player/player/9fa529e1                   | 0.036 | 6.744  | 6.780   | 3.390  | 6.744  | 6.744  | 6.744  | 3.354  | 585.000   | 688.000   | 1273.000   | 636.500   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa52970                   | 6.768 | 6.768  | 6.768   | 6.768  | 6.768  | 6.768  | 6.768  | 0.000  | 585.000   | 585.000   | 585.000    | 585.000   |
| 3     | 0   | 3   | 0   | 0   | 0   | GET    | /api/player/player/9fa52a03                   | 0.004 | 6.748  | 6.760   | 2.253  | 6.748  | 6.748  | 6.748  | 3.178  | 585.000   | 585.000   | 1755.000   | 585.000   |
| 3     | 0   | 3   | 0   | 0   | 0   | GET    | /api/player/player/9fa5293c                   | 0.016 | 6.684  | 6.732   | 2.244  | 6.684  | 6.684  | 6.684  | 3.140  | 687.000   | 800.000   | 2287.000   | 762.333   |
| 3     | 0   | 3   | 0   | 0   | 0   | GET    | /api/player/player/9fa529cc                   | 0.028 | 6.652  | 6.712   | 2.237  | 6.652  | 6.652  | 6.652  | 3.122  | 380.000   | 688.000   | 1653.000   | 551.000   |
| 2     | 0   | 2   | 0   | 0   | 0   | GET    | /api/player/player/9fa52811                   | 0.132 | 6.548  | 6.680   | 3.340  | 6.548  | 6.548  | 6.548  | 3.208  | 264.000   | 785.000   | 1049.000   | 524.500   |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/organizer/competition/9fa5347f/score     | 6.660 | 6.660  | 6.660   | 6.660  | 6.660  | 6.660  | 6.660  | 0.000  | 54.000    | 54.000    | 54.000     | 54.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/organizer/competition/9fa53737/score     | 6.640 | 6.640  | 6.640   | 6.640  | 6.640  | 6.640  | 6.640  | 0.000  | 54.000    | 54.000    | 54.000     | 54.000    |
| 4     | 0   | 4   | 0   | 0   | 0   | GET    | /api/player/player/9fa52795                   | 0.004 | 6.480  | 6.560   | 1.640  | 6.480  | 6.480  | 6.480  | 2.794  | 264.000   | 672.000   | 1664.000   | 416.000   |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/player/player/9fa529b5                   | 6.524 | 6.524  | 6.524   | 6.524  | 6.524  | 6.524  | 6.524  | 0.000  | 687.000   | 687.000   | 687.000    | 687.000   |
